"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 02 11:37:47 CST 2023","Thu Nov 02 11:41:41 CST 2023","234150","","test-Firebase_Apptester","TestAPI","","","test_firebase_func","
        pip install numpy
        pip install pyautogui
        pip install opencv-python
        pip install pytest-repeat

        "
"passed","Fri Oct 27 14:30:56 CST 2023","Fri Oct 27 14:34:11 CST 2023","195871","","test-Firebase_Apptester","TestAPI","","","test_firebase_func[2-10]","
        pip install numpy
        pip install pyautogui
        pip install opencv-python
        pip install pytest-repeat

        "
"passed","Fri Oct 27 14:24:50 CST 2023","Fri Oct 27 14:30:56 CST 2023","365861","","test-Firebase_Apptester","TestAPI","","","test_firebase_func[1-10]","
        pip install numpy
        pip install pyautogui
        pip install opencv-python
        pip install pytest-repeat

        "
